Fire,Watershed,Sub Watershed,Comparison,Correlation,RMSE,pct_bias,wtr_n,,,,,,,,,,,,,,,
Delta,Slate Creek,Slate Creek,ME,0.681021936,3.622666,312.0401,1,,,,,,,,,,,,,,,
Delta,Slate Creek,Slate Creek,MN,-0.003736945,5.886735,616.91,1,,,,,,,,,,,,,,,
Delta,Slate Creek,Slate Creek,EN,0.179558909,5.350475,143.9358,1,,,,,,,,,,,,,,,
Delta,Slate Creek,Mosquito Creek,ME,0.42151393,1.987412,146.2748,2,,,,,,,,,,,,,,,
Delta,Slate Creek,Mosquito Creek,MN,0.14287132,5.799169,563.8092,2,,,,,,,,,,,,,,,
Delta,Slate Creek,Mosquito Creek,EN,0.04113909,6.179645,272.4631,2,,,,,,,,,,,,,,,
Delta,Slate Creek,North Salt Creek,ME,0.3233253,2.760278,186.3255,3,,,,,,,,,,,,,,,
Delta,Slate Creek,North Salt Creek,MN,0.2404281,5.719383,520.1909,3,,,,,,,,,,,,,,,
Delta,Slate Creek,North Salt Creek,EN,-0.0902248,5.831331,185.13,3,,,,,,,,,,,,,,,
Delta,Slate Creek,Mears Creek,ME,0.4953581,2.315092,142.5742,4,,,,,,,,,,,,,,,
Delta,Slate Creek,Mears Creek,MN,0.3363166,22.30077,1581.4421,4,,,,,,,,,,,,,,,
Delta,Slate Creek,Mears Creek,EN,-0.1151012,23.693288,661.1454,4,,,,,,,,,,,,,,,
Delta,Slate Creek,Shotgun Creek,ME,0.619994263,2.867835,206.9007,5,,,,,,,,,,,,,,,
Delta,Slate Creek,Shotgun Creek,MN,0.235378726,5.746356,536.2838,5,,,,,,,,,,,,,,,
Delta,Slate Creek,Shotgun Creek,EN,0.004721695,5.746843,178.5969,5,,,,,,,,,,,,,,,
Delta,Slate Creek,Dog Creek,ME,0.41884575,3.213702,133.8026,6,,,,,,,,,,,,,,,
Delta,Slate Creek,Dog Creek,MN,0.46729117,6.466008,463.3891,6,,,,,,,,,,,,,,,
Delta,Slate Creek,Dog Creek,EN,0.07560364,6.839604,210.7967,6,,,,,,,,,,,,,,,
Delta,Slate Creek,Hazel Creek,ME,0.50444308,2.094591,114.4051,7,,,,,,,,,,,,,,,
Delta,Slate Creek,Hazel Creek,MN,0.47976114,6.467399,462.8467,7,,,,,,,,,,,,,,,
Delta,Slate Creek,Hazel Creek,EN,0.04670352,6.503876,199.1132,7,,,,,,,,,,,,,,,
August,Mad River,Lost Creek,ME,0.705601,1.467278,98.10676,8,,,,,,,,,,,,,,,
August,Mad River,Lost Creek,MN,0.3683229,19.465705,1574.58411,8,,,,,,,,,,,,,,,
August,Mad River,Lost Creek,EN,0.2110246,17.925677,801.36873,8,,,,,,,,,,,,,,,
August,Mad River,Ruth Lake,ME,0.7375287,1.493981,83.93104,9,,,,,,,,,,,,,,,
August,Mad River,Ruth Lake,MN,0.4483283,19.345486,1426.70941,9,,,,,,,,,,,,,,,
August,Mad River,Ruth Lake,EN,0.189898,17.976204,687.09759,9,,,,,,,,,,,,,,,
August,Mad River,Barry Creek,ME,0.7509205,1.34359,69.11692,10,,,,,,,,,,,,,,,
August,Mad River,Barry Creek,MN,0.4421429,19.36731,1459.37962,10,,,,,,,,,,,,,,,
August,Mad River,Barry Creek,EN,0.1687672,18.72076,867.71237,10,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Lower Chiquito Creek,ME,0.5364185,3.881712,250.9343,11,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Lower Chiquito Creek,MN,0.02329836,15.942609,1378.5661,11,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Lower Chiquito Creek,EN,-0.18481223,15.815799,354.4262,11,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Upper Chiquito Creek,ME,0.75043025,2.600205,195.6501,12,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Upper Chiquito Creek,MN,-0.04392512,15.947735,1369.6281,12,,,,,,,,,,,,,,,
Creek,Chiquito Creek,Upper Chiquito Creek,EN,0.01141519,16.109617,443.4631,12,,,,,,,,,,,,,,,
